國文,英文,數學,社會,自然
12,6,11,10,12
12,15,8,9,14
12,7,6,11,9
15,8,6,10,13
7,14,13,15,13
13,9,8,12,15
12,11,7,11,15
14,10,14,11,13
7,14,13,8,15
8,9,11,10,12
11,10,14,12,6
14,9,12,6,12
10,13,10,11,13
8,14,15,9,7
10,9,12,11,13
6,10,8,10,13
12,6,14,15,7
8,10,12,15,15
8,8,12,13,7
14,15,11,9,13
6,7,10,13,10
11,15,13,10,9
11,15,11,11,14
6,15,15,14,14
7,7,7,9,7
7,6,14,15,8
15,7,8,10,9
10,9,7,14,9
14,7,13,7,12
15,7,8,14,10
14,9,6,10,9
14,7,11,8,12
11,11,10,13,15
14,14,10,10,7
12,11,14,11,10
11,13,15,7,6
7,7,6,10,14
13,14,13,8,10
7,15,12,10,13
10,15,12,15,15
11,8,14,10,13
14,7,14,9,12
14,11,12,13,7
13,11,13,7,14
11,12,15,11,8
12,7,9,11,14
7,9,15,6,11
6,7,8,8,6
9,15,12,7,12
14,12,9,8,7
6,8,6,14,8
6,12,13,6,8
8,9,14,6,11
9,10,9,9,12
8,6,8,8,9
7,14,9,13,15
12,12,7,7,14
15,12,13,8,11
7,7,11,11,14
9,7,12,6,7
13,12,12,12,14
12,8,6,10,9
6,13,10,6,13
9,13,7,7,8
8,10,15,10,14
13,11,10,9,14
9,6,6,9,10
11,15,15,12,6
11,7,13,14,15
13,14,13,10,8
7,10,6,8,7
10,12,13,6,15
6,13,10,14,8
6,15,13,14,10
7,9,14,15,13
6,10,12,12,11
14,14,7,13,10
10,10,12,10,6
7,15,9,15,6
7,9,13,11,8
8,15,15,14,11
15,7,12,10,6
10,7,10,12,15
15,8,10,15,8
12,10,14,6,14
10,15,9,8,13
7,10,10,7,10
12,13,6,10,8
14,12,12,13,14
9,10,12,14,8
6,14,8,14,12
7,11,10,13,14
15,13,6,9,9
9,12,13,14,8
10,10,13,14,15
7,10,7,13,10
11,13,15,10,8
6,15,11,14,6
8,8,12,6,11
14,11,6,6,15
